head_x,head_y,head_z,r_controller_x,r_controller_x,r_controller_x,l_controller_x,l_controller_y,l_controller_z,waist_x,waist_y,waist_z,r_foot_x,r_foot_y,r_foot_z,l_foot_x,l_foot_y,l_foot_z
5.02063,162.190918,-6.345433,27.370579,27.370579,27.370579,-22.37941,81.845428,-12.716168,1.685882,101.270081,-9.220636,20.217049,10.637403,1.594317,-14.904404,10.061777,2.218741
4.961349,162.190918,-6.316245,27.395422,27.395422,27.395422,-22.11418,81.807716,-12.700196,1.624481,101.296204,-9.237711,20.217049,10.634726,1.592787,-14.904404,10.061777,2.218741
4.886978,162.190918,-6.302547,27.400856,27.400856,27.400856,-21.909725,81.776344,-12.739136,1.581095,101.306847,-9.236337,20.217049,10.627084,1.590105,-14.904404,10.047046,2.218741
4.817671,162.190918,-6.280795,27.365654,27.365654,27.365654,-21.832226,81.770638,-12.767344,1.526129,101.314224,-9.239557,20.217049,10.621393,1.587368,-14.904404,10.041175,2.218724
4.729799,162.191238,-6.266313,27.276793,27.276793,27.276793,-21.717131,81.784187,-12.846878,1.460254,101.318024,-9.241334,20.181885,10.631737,1.584617,-14.929309,10.058106,2.199923
4.660022,162.193192,-6.259781,27.193642,27.193642,27.193642,-21.624882,81.788094,-12.900637,1.414689,101.288857,-9.235131,20.180752,10.629798,1.568963,-14.929845,10.052007,2.188057
4.594255,162.19516,-6.256588,27.112959,27.112959,27.112959,-21.493948,81.790451,-12.958217,1.349523,101.265312,-9.230673,20.205194,10.605053,1.565865,-14.90708,10.004036,2.203516
4.526813,162.197083,-6.254298,26.990246,26.990246,26.990246,-21.334471,81.802292,-13.014736,1.283067,101.251457,-9.218589,20.202139,10.599814,1.558559,-14.901553,9.985165,2.196392
4.436979,162.209061,-6.25196,26.807631,26.807631,26.807631,-21.158571,81.801689,-13.033529,1.212799,101.248184,-9.203912,20.144327,10.623012,1.555362,-14.942079,10.035584,2.157611
4.371867,162.202759,-6.249507,26.647257,26.647257,26.647257,-20.968121,81.801064,-13.06236,1.123544,101.273529,-9.191422,20.144035,10.632259,1.541317,-14.942945,10.039879,2.147175
4.31771,162.178864,-6.213861,26.524637,26.524637,26.524637,-20.798986,81.800209,-13.052166,1.050749,101.287849,-9.160005,20.183405,10.588983,1.562352,-14.901687,9.973893,2.18016
4.267411,162.171799,-6.190171,26.377464,26.377464,26.377464,-20.639887,81.812637,-13.059176,0.948516,101.31945,-9.136615,20.192919,10.606112,1.570364,-14.896836,9.970984,2.189433
4.185121,162.180481,-6.174547,26.202793,26.202793,26.202793,-20.500912,81.813454,-13.048924,0.888402,101.323212,-9.094966,20.131199,10.647509,1.576158,-14.944075,10.018748,2.170475
4.139208,162.181213,-6.156391,26.06846,26.06846,26.06846,-20.400166,81.851028,-13.0665,0.805309,101.349571,-9.06417,20.13059,10.658927,1.579265,-14.950653,10.021561,2.170462
4.106543,162.171478,-6.113347,25.967871,25.967871,25.967871,-20.293846,81.877769,-13.068638,0.750167,101.352814,-9.013806,20.159431,10.629315,1.609148,-14.915243,9.956398,2.208427
4.08161,162.183487,-6.093738,25.846766,25.846766,25.846766,-20.223482,81.936966,-13.087119,0.67617,101.3703,-8.958865,20.160219,10.639804,1.611797,-14.914796,9.941396,2.214357
4.037628,162.205887,-6.087483,25.661873,25.661873,25.661873,-20.129372,81.966614,-13.092198,0.643379,101.353546,-8.878307,20.102602,10.70402,1.621398,-14.961868,9.993662,2.194956
4.029955,162.218109,-6.075399,25.51342,25.51342,25.51342,-20.058285,82.018219,-13.112622,0.589009,101.355225,-8.812544,20.089247,10.725718,1.629863,-14.963797,9.985683,2.190205
4.044024,162.224655,-6.057914,25.399052,25.399052,25.399052,-19.96446,82.048805,-13.109506,0.565637,101.334267,-8.71527,20.089323,10.726912,1.657943,-14.938568,9.949138,2.205637
4.067092,162.238892,-6.039252,25.266901,25.266901,25.266901,-19.88773,82.097603,-13.11223,0.549789,101.326721,-8.628768,20.065424,10.77129,1.674987,-14.932994,9.95141,2.214848
4.088542,162.262848,-6.03786,25.132133,25.132133,25.132133,-19.809431,82.124168,-13.109945,0.557318,101.307449,-8.525445,19.987862,10.842808,1.676059,-14.97113,9.982759,2.21594
4.140317,162.272018,-6.021379,25.034128,25.034128,25.034128,-19.76754,82.166908,-13.127804,0.532418,101.325623,-8.449683,19.933392,10.89482,1.705836,-14.975073,9.988391,2.216372
4.237305,162.271149,-5.998446,24.992701,24.992701,24.992701,-19.714294,82.180008,-13.129978,0.566939,101.313644,-8.35965,19.909885,10.91841,1.716606,-14.952248,9.961198,2.216436
4.331795,162.282318,-5.972778,24.944067,24.944067,24.944067,-19.710827,82.216019,-13.155162,0.548907,101.354309,-8.315474,19.854126,10.972153,1.750406,-14.950184,9.960382,2.216428
4.451526,162.297836,-5.968119,24.9352,24.9352,24.9352,-19.701735,82.215843,-13.165648,0.610668,101.347809,-8.22976,19.807545,11.050632,1.758525,-14.948332,9.959723,2.216641
4.596018,162.310989,-5.937276,24.949768,24.949768,24.949768,-19.71328,82.237328,-13.193836,0.680219,101.34951,-8.155877,19.745447,11.140517,1.807151,-14.946536,9.972256,2.217395
4.762959,162.328339,-5.914346,24.996359,24.996359,24.996359,-19.736126,82.230919,-13.203526,0.780415,101.338364,-8.071081,19.708464,11.212486,1.804623,-14.944786,9.973866,2.219067
4.956182,162.348328,-5.868949,25.066137,25.066137,25.066137,-19.793396,82.247086,-13.22324,0.911468,101.310677,-7.968226,19.616804,11.26769,1.861433,-14.943301,9.974441,2.221021
5.171149,162.376099,-5.844903,25.180071,25.180071,25.180071,-19.837679,82.234535,-13.24018,1.070267,101.287483,-7.880337,19.594885,11.307014,1.872043,-14.942339,9.973983,2.219551
5.41093,162.400543,-5.815844,25.3162,25.3162,25.3162,-19.894142,82.23391,-13.271065,1.237065,101.295563,-7.816312,19.533953,11.336874,1.909353,-14.943235,9.973177,2.209053
5.670348,162.433487,-5.796355,25.478901,25.478901,25.478901,-19.954111,82.234932,-13.286272,1.4526,101.28009,-7.727792,19.503454,11.355185,1.883762,-14.945247,9.972213,2.202195
5.961339,162.460327,-5.757761,25.666031,25.666031,25.666031,-20.03775,82.261116,-13.314875,1.699692,101.262703,-7.628101,19.449295,11.355212,1.911917,-14.951122,9.971278,2.197294
6.287134,162.480759,-5.725786,25.915369,25.915369,25.915369,-20.096655,82.270164,-13.325471,1.97109,101.249161,-7.534757,19.46879,11.295726,1.908544,-14.9288,9.944321,2.192317
6.625102,162.499557,-5.694609,26.175137,26.175137,26.175137,-20.138208,82.285599,-13.354645,2.280421,101.23658,-7.465129,19.445469,11.241661,1.890256,-14.922494,9.937939,2.183428
6.977431,162.524918,-5.666066,26.45574,26.45574,26.45574,-20.186975,82.295525,-13.358494,2.598507,101.220459,-7.384024,19.437483,11.186703,1.853432,-14.938997,9.955947,2.169061
7.364468,162.536575,-5.623322,26.788353,26.788353,26.788353,-20.221973,82.31678,-13.37266,2.958418,101.20623,-7.316684,19.430782,11.153935,1.848163,-14.934038,9.954398,2.15204
7.777782,162.540375,-5.565408,27.189276,27.189276,27.189276,-20.245449,82.336136,-13.369257,3.32022,101.191467,-7.245893,19.486021,11.072998,1.846587,-14.89519,9.920038,2.161401
8.209582,162.547363,-5.501764,27.595884,27.595884,27.595884,-20.260345,82.372826,-13.354604,3.729172,101.168182,-7.15617,19.50778,11.052509,1.863245,-14.882443,9.923497,2.149259
8.621366,162.56102,-5.443726,27.985313,27.985313,27.985313,-20.250626,82.405914,-13.336159,4.130606,101.161026,-7.089572,19.49115,11.051958,1.828015,-14.910301,9.957129,2.122858
9.073625,162.561066,-5.375708,28.436131,28.436131,28.436131,-20.231014,82.450264,-13.326387,4.583867,101.142433,-7.00219,19.513609,11.021361,1.815006,-14.899713,9.963976,2.089305
9.539145,162.56102,-5.294255,28.92312,28.92312,28.92312,-20.193544,82.507225,-13.299911,5.027088,101.139519,-6.919152,19.565079,10.967825,1.810839,-14.872947,9.935423,2.06848
10.006777,162.561111,-5.219894,29.413898,29.413898,29.413898,-20.158951,82.582428,-13.29213,5.511154,101.096298,-6.813358,19.583942,10.908363,1.795391,-14.883348,9.920775,2.000545
10.47594,162.561844,-5.143373,29.903252,29.903252,29.903252,-20.107294,82.676392,-13.276331,5.959578,101.089706,-6.718759,19.606091,10.881644,1.782779,-14.921709,9.953991,1.920014
10.966185,162.572983,-5.053951,30.423101,30.423101,30.423101,-20.047251,82.795601,-13.267625,6.467767,101.046066,-6.584173,19.624666,10.858131,1.778232,-14.920784,9.988018,1.835899
11.465005,162.585037,-4.971651,30.959476,30.959476,30.959476,-19.989075,82.927658,-13.254691,6.934617,101.031441,-6.457385,19.625055,10.820723,1.743678,-14.954501,10.004335,1.707249
11.965012,162.609222,-4.876495,31.470301,31.470301,31.470301,-19.923731,83.070839,-13.225795,7.410223,101.040779,-6.320697,19.602324,10.79083,1.728225,-14.978122,10.056632,1.539246
12.457529,162.649323,-4.801502,31.974009,31.974009,31.974009,-19.87126,83.243126,-13.202061,7.858072,101.056656,-6.169941,19.576784,10.748476,1.733582,-15.022038,10.114528,1.34403
12.948867,162.690842,-4.721094,32.457493,32.457493,32.457493,-19.820414,83.433067,-13.165761,8.364691,101.048859,-5.981085,19.5749,10.707382,1.709155,-15.060065,10.212564,1.101097
13.453226,162.735107,-4.642036,32.943264,32.943264,32.943264,-19.781815,83.649689,-13.123417,8.796141,101.09655,-5.782368,19.578844,10.680308,1.705934,-15.075311,10.297819,0.82977
13.934994,162.77948,-4.555674,33.369598,33.369598,33.369598,-19.740408,83.872604,-13.060295,9.24924,101.108299,-5.552917,19.586674,10.647709,1.706151,-15.080459,10.459349,0.440569
